,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,64,0.16667,0.18056,0.29167,0.41667,0.40278,0.44444,0.44444,0.47222,0.48611,0.45833,0.45833
nef_Ra,65,0.11111,0.11111,0.26389,0.26389,0.31944,0.30556,0.31944,0.30556,0.36111,0.375,0.36111
nef_Ra,66,0.19178,0.10959,0.30137,0.36986,0.38356,0.39726,0.38356,0.38356,0.39726,0.39726,0.38356
nef_Ra,67,0.19444,0.13889,0.29167,0.31944,0.375,0.38889,0.41667,0.43056,0.44444,0.41667,0.44444
nef_Ra,68,0.125,0.16667,0.34722,0.375,0.43056,0.41667,0.45833,0.45833,0.5,0.45833,0.47222
nef_Ra,69,0.18056,0.15278,0.25,0.34722,0.36111,0.41667,0.40278,0.41667,0.43056,0.41667,0.43056
nef_Ra,70,0.16438,0.12329,0.26027,0.35616,0.38356,0.39726,0.39726,0.42466,0.42466,0.41096,0.41096
nef_Ra,71,0.13889,0.13889,0.26389,0.29167,0.30556,0.33333,0.31944,0.31944,0.31944,0.33333,0.34722
nef_Ra,72,0.15278,0.11111,0.23611,0.25,0.31944,0.30556,0.375,0.34722,0.36111,0.33333,0.33333
nef_Ra,73,0.19444,0.15278,0.29167,0.30556,0.34722,0.43056,0.44444,0.45833,0.45833,0.45833,0.5
nef_Ra,74,0.10959,0.12329,0.26027,0.35616,0.41096,0.41096,0.41096,0.41096,0.42466,0.45205,0.42466
nef_Ra,75,0.16667,0.13889,0.27778,0.34722,0.36111,0.38889,0.38889,0.38889,0.40278,0.41667,0.41667
nef_Ra,76,0.13889,0.13889,0.22222,0.27778,0.30556,0.31944,0.33333,0.33333,0.34722,0.33333,0.33333
nef_Ra,77,0.15278,0.15278,0.29167,0.36111,0.38889,0.44444,0.45833,0.47222,0.47222,0.44444,0.47222
nef_Ra,78,0.12329,0.17808,0.28767,0.42466,0.45205,0.42466,0.45205,0.45205,0.49315,0.46575,0.52055
nef_Ra,79,0.15278,0.15278,0.29167,0.33333,0.36111,0.38889,0.38889,0.41667,0.40278,0.41667,0.40278
nef_Ra,80,0.13889,0.11111,0.19444,0.30556,0.34722,0.34722,0.31944,0.31944,0.34722,0.30556,0.31944
nef_Ra,81,0.22222,0.15278,0.27778,0.34722,0.34722,0.41667,0.44444,0.44444,0.44444,0.44444,0.45833
nef_Ra,82,0.15068,0.13699,0.27397,0.32877,0.35616,0.36986,0.39726,0.36986,0.41096,0.42466,0.43836
nef_Ra,83,0.16667,0.125,0.30556,0.375,0.40278,0.41667,0.41667,0.43056,0.44444,0.43056,0.41667
nef_Ra,84,0.15278,0.11111,0.33333,0.36111,0.36111,0.40278,0.43056,0.41667,0.43056,0.43056,0.44444
nef_Ra,85,0.19444,0.18056,0.36111,0.33333,0.38889,0.40278,0.43056,0.47222,0.41667,0.45833,0.47222
nef_Ra,86,0.15068,0.15068,0.23288,0.28767,0.32877,0.34247,0.34247,0.35616,0.35616,0.34247,0.38356
nef_Ra,87,0.125,0.125,0.25,0.31944,0.31944,0.375,0.375,0.40278,0.40278,0.38889,0.41667
nef_Ra,88,0.13889,0.13889,0.31944,0.33333,0.33333,0.375,0.375,0.375,0.38889,0.41667,0.43056
nef_Ra,89,0.19444,0.08333,0.22222,0.26389,0.31944,0.30556,0.34722,0.375,0.36111,0.33333,0.375
nef_Ra,90,0.13699,0.10959,0.27397,0.35616,0.36986,0.42466,0.41096,0.42466,0.42466,0.42466,0.42466
