,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,99,0.29688,0.51562,0.5,0.46875,0.53125,0.54688,0.54688
nef_Ra,100,0.28125,0.45312,0.4375,0.42188,0.40625,0.45312,0.4375
nef_Ra,101,0.35938,0.48438,0.57812,0.54688,0.59375,0.60938,0.60938
nef_Ra,102,0.34375,0.46875,0.45312,0.51562,0.46875,0.53125,0.5625
nef_Ra,103,0.25,0.48438,0.39062,0.45312,0.45312,0.39062,0.46875
nef_Ra,104,0.29688,0.42188,0.45312,0.45312,0.5,0.48438,0.51562
nef_Ra,105,0.28125,0.5625,0.5,0.53125,0.5,0.5,0.51562
nef_Ra,106,0.23438,0.5,0.45312,0.5,0.48438,0.53125,0.51562
nef_Ra,107,0.29688,0.39062,0.5,0.35938,0.51562,0.48438,0.46875
nef_Ra,108,0.3125,0.5,0.5,0.51562,0.54688,0.57812,0.54688
nef_Ra,109,0.25,0.45312,0.45312,0.42188,0.5,0.48438,0.42188
nef_Ra,110,0.375,0.42188,0.48438,0.45312,0.45312,0.45312,0.5
nef_Ra,111,0.26562,0.48438,0.4375,0.48438,0.46875,0.5,0.53125
nef_Ra,112,0.3125,0.5,0.53125,0.53125,0.53125,0.5,0.54688
nef_Ra,113,0.26562,0.5,0.5,0.48438,0.53125,0.53125,0.54688
nef_Ra,114,0.35938,0.46875,0.48438,0.46875,0.46875,0.46875,0.48438
nef_Ra,115,0.28125,0.40625,0.5,0.45312,0.48438,0.51562,0.53125
nef_Ra,116,0.34375,0.5,0.53125,0.48438,0.48438,0.48438,0.5625
nef_Ra,117,0.15625,0.39062,0.48438,0.35938,0.48438,0.48438,0.5
nef_Ra,118,0.28125,0.45312,0.42188,0.46875,0.48438,0.46875,0.53125
nef_Ra,119,0.28125,0.51562,0.5,0.46875,0.54688,0.5,0.51562
roc_auc,0,0.67319,0.80872,0.82404,0.79547,0.80334,0.82199,0.85751
roc_auc,1,0.6655,0.82803,0.84424,0.85965,0.83047,0.84561,0.84155
roc_auc,2,0.66576,0.79391,0.8251,0.79443,0.82559,0.79743,0.83727
roc_auc,3,0.63627,0.76526,0.82088,0.82999,0.81981,0.80128,0.84305
roc_auc,4,0.64984,0.78653,0.80869,0.77045,0.78845,0.74734,0.81342
roc_auc,5,0.64633,0.77597,0.86786,0.80179,0.83856,0.82242,0.83902
roc_auc,6,0.67929,0.79639,0.80354,0.78694,0.77061,0.84552,0.82693
