,,LR,GBT,DClf
roc_auc,59,0.93228,0.96906,0.53589
roc_auc,60,0.89995,0.952,0.51292
roc_auc,61,0.85123,0.94969,0.49369
roc_auc,62,0.89956,0.94607,0.5082
roc_auc,63,0.94815,0.98293,0.51562
roc_auc,64,0.89913,0.93006,0.49773
roc_auc,65,0.84404,0.92597,0.48177
roc_auc,66,0.93995,0.98363,0.49124
roc_auc,67,0.89841,0.93627,0.49164
roc_auc,68,0.92367,0.9772,0.47385
roc_auc,69,0.85011,0.93128,0.49757
roc_auc,70,0.90729,0.96936,0.53244
roc_auc,71,0.87966,0.93108,0.49628
roc_auc,72,0.88473,0.94719,0.47603
roc_auc,73,0.87564,0.94771,0.50084
roc_auc,74,0.88868,0.95507,0.4654
roc_auc,75,0.96149,0.9726,0.52238
roc_auc,76,0.91177,0.96183,0.50129
roc_auc,77,0.88565,0.94384,0.50626
roc_auc,78,0.93855,0.98054,0.51191
roc_auc,79,0.86288,0.90541,0.51005
roc_auc,80,0.88969,0.92872,0.51107
roc_auc,81,0.92882,0.96496,0.49959
roc_auc,82,0.85291,0.91212,0.51005
roc_auc,83,0.89743,0.94873,0.50092
roc_auc,84,0.93172,0.9625,0.53292
roc_auc,85,0.92957,0.97113,0.50533
roc_auc,86,0.85872,0.91355,0.47004
roc_auc,87,0.88016,0.93985,0.48581
roc_auc,88,0.92131,0.98545,0.49664
roc_auc,89,0.89338,0.92099,0.49494
roc_auc,90,0.86893,0.91844,0.47256
roc_auc,91,0.91631,0.97345,0.51681
roc_auc,92,0.90558,0.93058,0.48145
roc_auc,93,0.90392,0.94392,0.50517
roc_auc,94,0.91699,0.97335,0.49866
roc_auc,95,0.89059,0.9745,0.50634
roc_auc,96,0.91113,0.94107,0.50686
roc_auc,97,0.84387,0.9142,0.47123
roc_auc,98,0.90027,0.96377,0.51826
roc_auc,99,0.93559,0.98614,0.47958
roc_auc,100,0.93618,0.97338,0.52921
roc_auc,101,0.8858,0.93239,0.4861
roc_auc,102,0.88196,0.94765,0.4707
roc_auc,103,0.89731,0.9294,0.51191
roc_auc,104,0.9228,0.95301,0.5061
roc_auc,105,0.89316,0.95371,0.51462
roc_auc,106,0.89214,0.96026,0.51615
roc_auc,107,0.89763,0.94399,0.4915
roc_auc,108,0.92627,0.97799,0.47603
roc_auc,109,0.88461,0.92639,0.51789
roc_auc,110,0.90117,0.9397,0.4915
roc_auc,111,0.88928,0.94304,0.51098
roc_auc,112,0.87502,0.91522,0.52052
roc_auc,113,0.92617,0.95752,0.51309
roc_auc,114,0.88206,0.94168,0.49164
roc_auc,115,0.92616,0.96686,0.48766
roc_auc,116,0.9085,0.95264,0.48456
roc_auc,117,0.903,0.94719,0.49757
roc_auc,118,0.90536,0.93226,0.51496
roc_auc,119,0.90169,0.95723,0.52449
