,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,101,0.36,0.50667,0.6,0.64,0.69333,0.66667,0.62667
nef_Ra,102,0.34667,0.42667,0.57333,0.56,0.58667,0.61333,0.6
nef_Ra,103,0.44,0.58667,0.64,0.66667,0.69333,0.69333,0.70667
nef_Ra,104,0.38158,0.5,0.61842,0.65789,0.63158,0.65789,0.64474
nef_Ra,105,0.33333,0.46667,0.6,0.6,0.64,0.64,0.62667
nef_Ra,106,0.45333,0.53333,0.66667,0.65333,0.66667,0.61333,0.64
nef_Ra,107,0.38667,0.52,0.58667,0.66667,0.69333,0.66667,0.66667
nef_Ra,108,0.39474,0.48684,0.57895,0.60526,0.60526,0.61842,0.61842
nef_Ra,109,0.4,0.49333,0.62667,0.62667,0.66667,0.65333,0.65333
nef_Ra,110,0.38667,0.50667,0.56,0.54667,0.58667,0.58667,0.6
nef_Ra,111,0.4,0.52,0.65333,0.61333,0.64,0.64,0.65333
nef_Ra,112,0.43421,0.53947,0.60526,0.59211,0.63158,0.59211,0.63158
nef_Ra,113,0.4,0.46667,0.61333,0.58667,0.57333,0.57333,0.58667
nef_Ra,114,0.34667,0.49333,0.58667,0.65333,0.68,0.68,0.68
nef_Ra,115,0.38667,0.45333,0.58667,0.58667,0.61333,0.64,0.64
nef_Ra,116,0.38158,0.5,0.51316,0.56579,0.57895,0.55263,0.56579
nef_Ra,117,0.34667,0.44,0.57333,0.58667,0.62667,0.61333,0.62667
nef_Ra,118,0.42667,0.50667,0.61333,0.62667,0.57333,0.62667,0.62667
nef_Ra,119,0.38667,0.49333,0.66667,0.66667,0.64,0.61333,0.62667
roc_auc,0,0.76991,0.84813,0.88388,0.88489,0.90173,0.89902,0.90857
roc_auc,1,0.79141,0.86279,0.90047,0.90975,0.91407,0.9237,0.92598
roc_auc,2,0.74645,0.80002,0.86794,0.87118,0.8926,0.909,0.89772
roc_auc,3,0.71385,0.82779,0.86419,0.87402,0.88223,0.89032,0.88512
roc_auc,4,0.71885,0.81161,0.86146,0.87848,0.88869,0.87788,0.88714
roc_auc,5,0.7687,0.84109,0.91406,0.92257,0.93431,0.94211,0.93787
roc_auc,6,0.74912,0.81017,0.84505,0.85949,0.87135,0.86059,0.86054
roc_auc,7,0.77199,0.8365,0.88848,0.89983,0.91772,0.92792,0.92311
roc_auc,8,0.73232,0.82317,0.8786,0.88441,0.88349,0.89096,0.881
roc_auc,9,0.77691,0.87409,0.9125,0.91123,0.92453,0.93542,0.93471
roc_auc,10,0.74775,0.80196,0.87284,0.87998,0.89243,0.89377,0.89135
roc_auc,11,0.75868,0.83724,0.87543,0.89034,0.8875,0.89566,0.90127
roc_auc,12,0.75554,0.83318,0.89055,0.89208,0.90265,0.89762,0.90156
roc_auc,13,0.76096,0.81811,0.85848,0.85559,0.87515,0.87846,0.88809
roc_auc,14,0.77904,0.84358,0.87495,0.88752,0.89145,0.89647,0.89586
roc_auc,15,0.78734,0.83763,0.90746,0.90728,0.92627,0.929,0.92975
roc_auc,16,0.7559,0.82201,0.87004,0.87232,0.88712,0.88823,0.89244
roc_auc,17,0.75007,0.83934,0.88711,0.89882,0.91017,0.91049,0.90699
roc_auc,18,0.74895,0.80679,0.87956,0.9002,0.91512,0.92022,0.89902
roc_auc,19,0.77765,0.83782,0.88718,0.87971,0.88657,0.89929,0.90311
roc_auc,20,0.73781,0.82416,0.86576,0.87026,0.87488,0.88673,0.87202
roc_auc,21,0.76586,0.83958,0.87522,0.87928,0.87929,0.89444,0.88941
roc_auc,22,0.78225,0.8224,0.87498,0.88498,0.89544,0.90375,0.89569
roc_auc,23,0.78309,0.83368,0.87561,0.89988,0.91659,0.9148,0.91527
roc_auc,24,0.74447,0.82151,0.8829,0.89933,0.90421,0.90228,0.90207
roc_auc,25,0.74414,0.83034,0.89363,0.90201,0.89667,0.90203,0.90527
roc_auc,26,0.76939,0.85966,0.86784,0.87792,0.90404,0.90775,0.90324
roc_auc,27,0.74684,0.8339,0.8698,0.87039,0.89853,0.90806,0.90885
roc_auc,28,0.72373,0.77898,0.84094,0.8512,0.87899,0.8907,0.88963
roc_auc,29,0.75252,0.82922,0.84436,0.86846,0.87414,0.88051,0.8801
roc_auc,30,0.80062,0.84926,0.90142,0.89691,0.91483,0.91596,0.92025
roc_auc,31,0.76249,0.86607,0.92562,0.93172,0.93598,0.93782,0.93292
roc_auc,32,0.75718,0.83707,0.88966,0.88564,0.90327,0.92021,0.93131
roc_auc,33,0.75012,0.80794,0.85843,0.86809,0.8826,0.87605,0.87973
roc_auc,34,0.7389,0.84681,0.89118,0.89522,0.92265,0.92201,0.9301
roc_auc,35,0.80196,0.85434,0.89145,0.90216,0.92091,0.92115,0.91961
roc_auc,36,0.7947,0.86508,0.89167,0.90015,0.89856,0.90615,0.91048
roc_auc,37,0.73529,0.81819,0.85418,0.874,0.87444,0.87985,0.88544
roc_auc,38,0.77245,0.83605,0.89537,0.89777,0.89944,0.89542,0.91127
roc_auc,39,0.72301,0.80336,0.84686,0.85569,0.87581,0.89522,0.89571
roc_auc,40,0.7366,0.81398,0.87171,0.87599,0.89791,0.90744,0.89321
roc_auc,41,0.83037,0.88652,0.9414,0.94282,0.94167,0.94738,0.94806
roc_auc,42,0.74031,0.82438,0.87419,0.87238,0.88287,0.88123,0.89228
roc_auc,43,0.74635,0.84343,0.88199,0.88664,0.91022,0.90502,0.90272
roc_auc,44,0.75431,0.84535,0.9054,0.91592,0.93518,0.92468,0.92352
roc_auc,45,0.73034,0.78699,0.85728,0.84824,0.86385,0.86037,0.86265
roc_auc,46,0.77358,0.86042,0.87554,0.8927,0.90422,0.91784,0.9173
roc_auc,47,0.76784,0.81794,0.85056,0.86373,0.89642,0.90914,0.89363
roc_auc,48,0.73191,0.83514,0.90282,0.90581,0.91716,0.91266,0.91752
roc_auc,49,0.77654,0.8637,0.87667,0.89255,0.91277,0.9075,0.90806
roc_auc,50,0.75696,0.85885,0.85995,0.85539,0.8763,0.8852,0.89098
roc_auc,51,0.75922,0.80162,0.84157,0.8551,0.87223,0.89238,0.89395
roc_auc,52,0.71994,0.82759,0.86845,0.89108,0.90074,0.89822,0.89532
roc_auc,53,0.766,0.81564,0.83216,0.8636,0.86169,0.87287,0.87255
roc_auc,54,0.78637,0.88085,0.90505,0.91637,0.91784,0.91912,0.92228
roc_auc,55,0.75475,0.80721,0.88238,0.87527,0.89091,0.90515,0.89946
roc_auc,56,0.7793,0.84708,0.89064,0.90378,0.91416,0.91176,0.91636
roc_auc,57,0.77042,0.85429,0.89951,0.88748,0.91248,0.92042,0.91559
roc_auc,58,0.7089,0.80449,0.8648,0.88064,0.88625,0.8863,0.8887
roc_auc,59,0.79002,0.87603,0.90549,0.91331,0.91297,0.91529,0.91275
roc_auc,60,0.72151,0.77825,0.83284,0.85214,0.86982,0.86883,0.87273
roc_auc,61,0.82777,0.86877,0.90637,0.90157,0.9099,0.92176,0.91069
roc_auc,62,0.73926,0.82642,0.8786,0.87821,0.89797,0.89645,0.88716
roc_auc,63,0.8311,0.87738,0.90162,0.91547,0.9315,0.93789,0.94363
roc_auc,64,0.76142,0.81477,0.87812,0.88809,0.90086,0.90635,0.90606
roc_auc,65,0.78542,0.85262,0.89059,0.89767,0.91743,0.92147,0.91728
