,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,77,0.20548,0.27397,0.28767,0.32877,0.32877,0.36986,0.46575,0.43836,0.45205
nef_Ra,78,0.27397,0.32877,0.45205,0.46575,0.46575,0.45205,0.54795,0.56164,0.61644
nef_Ra,79,0.24658,0.36986,0.45205,0.49315,0.42466,0.45205,0.50685,0.53425,0.65753
nef_Ra,80,0.21918,0.26027,0.35616,0.38356,0.43836,0.39726,0.42466,0.49315,0.47945
nef_Ra,81,0.26027,0.30137,0.39726,0.38356,0.39726,0.43836,0.42466,0.50685,0.57534
nef_Ra,82,0.27397,0.34247,0.36986,0.41096,0.43836,0.47945,0.53425,0.50685,0.58904
nef_Ra,83,0.20548,0.35616,0.52055,0.47945,0.47945,0.43836,0.53425,0.54795,0.61644
nef_Ra,84,0.26027,0.35616,0.39726,0.41096,0.39726,0.43836,0.47945,0.52055,0.56164
nef_Ra,85,0.20548,0.32877,0.35616,0.45205,0.46575,0.46575,0.58904,0.56164,0.57534
nef_Ra,86,0.24658,0.26027,0.38356,0.41096,0.46575,0.49315,0.53425,0.54795,0.54795
nef_Ra,87,0.32877,0.26027,0.31507,0.31507,0.35616,0.38356,0.36986,0.45205,0.50685
nef_Ra,88,0.21918,0.31507,0.41096,0.42466,0.41096,0.43836,0.49315,0.52055,0.56164
nef_Ra,89,0.23288,0.28767,0.31507,0.31507,0.38356,0.38356,0.45205,0.41096,0.45205
nef_Ra,90,0.21918,0.30137,0.35616,0.43836,0.47945,0.47945,0.50685,0.54795,0.56164
nef_Ra,91,0.32877,0.35616,0.43836,0.47945,0.46575,0.49315,0.54795,0.56164,0.60274
nef_Ra,92,0.17808,0.21918,0.35616,0.38356,0.36986,0.38356,0.42466,0.43836,0.46575
nef_Ra,93,0.28767,0.39726,0.43836,0.41096,0.45205,0.50685,0.52055,0.56164,0.56164
nef_Ra,94,0.24658,0.31507,0.38356,0.43836,0.43836,0.49315,0.53425,0.57534,0.60274
nef_Ra,95,0.24658,0.32877,0.34247,0.41096,0.42466,0.36986,0.50685,0.53425,0.56164
nef_Ra,96,0.23288,0.38356,0.42466,0.49315,0.54795,0.56164,0.60274,0.64384,0.65753
nef_Ra,97,0.23288,0.32877,0.42466,0.49315,0.46575,0.57534,0.57534,0.53425,0.64384
nef_Ra,98,0.26027,0.38356,0.49315,0.47945,0.52055,0.46575,0.53425,0.56164,0.63014
nef_Ra,99,0.24658,0.26027,0.26027,0.30137,0.34247,0.32877,0.38356,0.41096,0.41096
nef_Ra,100,0.21918,0.31507,0.32877,0.36986,0.41096,0.42466,0.46575,0.46575,0.49315
nef_Ra,101,0.16438,0.27397,0.36986,0.42466,0.41096,0.43836,0.45205,0.54795,0.57534
nef_Ra,102,0.21918,0.28767,0.41096,0.42466,0.45205,0.47945,0.50685,0.53425,0.56164
nef_Ra,103,0.24658,0.38356,0.38356,0.42466,0.41096,0.45205,0.47945,0.41096,0.53425
nef_Ra,104,0.24658,0.34247,0.39726,0.38356,0.43836,0.46575,0.46575,0.45205,0.52055
nef_Ra,105,0.16438,0.27397,0.41096,0.45205,0.42466,0.43836,0.47945,0.54795,0.53425
nef_Ra,106,0.31507,0.43836,0.43836,0.46575,0.49315,0.46575,0.50685,0.52055,0.60274
nef_Ra,107,0.27397,0.30137,0.34247,0.41096,0.38356,0.46575,0.49315,0.52055,0.57534
nef_Ra,108,0.26027,0.42466,0.42466,0.47945,0.45205,0.50685,0.58904,0.57534,0.56164
nef_Ra,109,0.26027,0.35616,0.35616,0.34247,0.36986,0.36986,0.45205,0.49315,0.49315
nef_Ra,110,0.31507,0.34247,0.36986,0.41096,0.47945,0.41096,0.50685,0.49315,0.50685
nef_Ra,111,0.23288,0.34247,0.42466,0.43836,0.46575,0.46575,0.50685,0.52055,0.57534
nef_Ra,112,0.26027,0.34247,0.41096,0.45205,0.45205,0.45205,0.49315,0.53425,0.58904
nef_Ra,113,0.20548,0.26027,0.35616,0.38356,0.45205,0.43836,0.42466,0.47945,0.46575
nef_Ra,114,0.24658,0.31507,0.38356,0.43836,0.45205,0.52055,0.58904,0.56164,0.57534
nef_Ra,115,0.24658,0.39726,0.41096,0.36986,0.43836,0.43836,0.50685,0.47945,0.50685
nef_Ra,116,0.26027,0.35616,0.38356,0.43836,0.47945,0.47945,0.54795,0.52055,0.57534
nef_Ra,117,0.21918,0.28767,0.30137,0.36986,0.42466,0.43836,0.45205,0.53425,0.54795
nef_Ra,118,0.21918,0.35616,0.38356,0.41096,0.42466,0.41096,0.50685,0.47945,0.50685
nef_Ra,119,0.31507,0.38356,0.43836,0.39726,0.49315,0.53425,0.57534,0.56164,0.56164
roc_auc,0,0.68181,0.80053,0.84322,0.82863,0.86919,0.88477,0.89532,0.88848,0.89725
roc_auc,1,0.71719,0.80668,0.85059,0.84262,0.88166,0.89075,0.8918,0.88162,0.90017
roc_auc,2,0.73747,0.81707,0.80606,0.86266,0.85943,0.87069,0.87667,0.90226,0.90675
roc_auc,3,0.74681,0.80673,0.84618,0.8492,0.8599,0.86082,0.89104,0.87819,0.90596
roc_auc,4,0.71859,0.77569,0.80691,0.84097,0.84129,0.85373,0.87927,0.86732,0.88665
roc_auc,5,0.72556,0.79349,0.83855,0.85517,0.86192,0.88241,0.88369,0.89272,0.90304
roc_auc,6,0.71693,0.76012,0.80502,0.83884,0.8383,0.87857,0.88295,0.88584,0.89324
roc_auc,7,0.75862,0.84608,0.84719,0.87037,0.89565,0.8851,0.88641,0.90938,0.92729
roc_auc,8,0.7728,0.86724,0.8712,0.90308,0.8886,0.90691,0.89475,0.90607,0.92444
roc_auc,9,0.72794,0.78044,0.82907,0.82754,0.84865,0.85739,0.88199,0.89163,0.91357
roc_auc,10,0.71268,0.80253,0.84534,0.84406,0.87334,0.88093,0.89675,0.90097,0.89445
roc_auc,11,0.72677,0.77099,0.79798,0.84053,0.84581,0.86664,0.8696,0.88119,0.88953
roc_auc,12,0.75833,0.76806,0.7783,0.8032,0.80951,0.83036,0.81788,0.84493,0.87969
roc_auc,13,0.73741,0.80161,0.8458,0.88013,0.87751,0.88041,0.88725,0.90106,0.91937
roc_auc,14,0.74026,0.85355,0.88607,0.89137,0.90878,0.91979,0.93234,0.93406,0.93884
roc_auc,15,0.72841,0.78147,0.81003,0.80304,0.83815,0.8388,0.87583,0.89759,0.88946
roc_auc,16,0.71058,0.73527,0.82874,0.83351,0.86559,0.85893,0.86564,0.85617,0.85137
roc_auc,17,0.75162,0.80009,0.80244,0.84801,0.86694,0.88984,0.88245,0.8979,0.92381
roc_auc,18,0.75147,0.8244,0.832,0.88233,0.88552,0.90607,0.8964,0.89643,0.9057
roc_auc,19,0.78051,0.82791,0.84192,0.88019,0.87486,0.86903,0.90434,0.90582,0.92686
roc_auc,20,0.78195,0.7954,0.83363,0.85104,0.86817,0.86647,0.89138,0.90621,0.90308
roc_auc,21,0.73484,0.82933,0.85973,0.89981,0.8737,0.88785,0.88624,0.89282,0.87584
roc_auc,22,0.71623,0.7736,0.79989,0.81233,0.83942,0.84361,0.85107,0.87292,0.90137
roc_auc,23,0.73669,0.79358,0.81087,0.8298,0.87176,0.88027,0.87399,0.88268,0.91659
roc_auc,24,0.74733,0.80539,0.82825,0.83799,0.84993,0.86512,0.88683,0.89467,0.89425
roc_auc,25,0.77094,0.82366,0.84193,0.85772,0.87877,0.88435,0.89821,0.88857,0.90207
roc_auc,26,0.73251,0.76798,0.85151,0.85919,0.86996,0.88362,0.88265,0.89619,0.92548
roc_auc,27,0.75901,0.79312,0.82253,0.85745,0.87664,0.85403,0.90061,0.88665,0.91019
roc_auc,28,0.76451,0.80874,0.83966,0.87047,0.85659,0.87636,0.88414,0.87928,0.88771
roc_auc,29,0.74052,0.79652,0.80689,0.84781,0.8603,0.87094,0.87224,0.87957,0.88325
roc_auc,30,0.757,0.83304,0.87023,0.89285,0.90725,0.92468,0.93413,0.93567,0.93614
roc_auc,31,0.73528,0.7893,0.8249,0.83169,0.84087,0.83927,0.8608,0.85618,0.88918
roc_auc,32,0.70937,0.83168,0.8531,0.88886,0.88284,0.88543,0.90483,0.91436,0.9023
roc_auc,33,0.74773,0.79056,0.81849,0.87027,0.88793,0.89666,0.91045,0.89112,0.89371
roc_auc,34,0.75652,0.77851,0.81336,0.83178,0.84602,0.84581,0.87632,0.85545,0.89215
roc_auc,35,0.72555,0.81433,0.83471,0.82975,0.86859,0.88244,0.87182,0.87162,0.90887
roc_auc,36,0.77961,0.83585,0.84281,0.87887,0.90231,0.87146,0.90968,0.89496,0.91404
roc_auc,37,0.75382,0.79495,0.83161,0.83655,0.82539,0.8464,0.86185,0.86733,0.87607
roc_auc,38,0.79162,0.83755,0.84978,0.87687,0.8873,0.89103,0.90999,0.91401,0.93294
roc_auc,39,0.71444,0.80285,0.84135,0.8602,0.87364,0.88291,0.90309,0.89312,0.92111
roc_auc,40,0.75076,0.81683,0.8198,0.8364,0.85291,0.86128,0.86965,0.85084,0.88237
roc_auc,41,0.72415,0.77516,0.81871,0.82924,0.84739,0.85498,0.88103,0.87708,0.90416
roc_auc,42,0.78316,0.8426,0.87608,0.89077,0.89208,0.91073,0.92529,0.9175,0.93025
roc_auc,43,0.71198,0.78275,0.86505,0.87314,0.86368,0.87387,0.87857,0.8693,0.88564
roc_auc,44,0.74107,0.74899,0.80582,0.80737,0.83512,0.85417,0.83961,0.84847,0.83779
roc_auc,45,0.76033,0.80013,0.83716,0.87589,0.87913,0.89692,0.89945,0.88202,0.92439
roc_auc,46,0.8075,0.82746,0.86994,0.87655,0.90397,0.90613,0.91845,0.92458,0.92573
roc_auc,47,0.74407,0.80683,0.80781,0.8553,0.88581,0.89234,0.90398,0.89275,0.90906
roc_auc,48,0.80266,0.84167,0.87959,0.88456,0.89707,0.88982,0.87679,0.90289,0.90172
roc_auc,49,0.73601,0.73663,0.76828,0.79509,0.80791,0.82022,0.8441,0.86576,0.89251
roc_auc,50,0.69207,0.80548,0.83731,0.84366,0.85265,0.8678,0.88254,0.88228,0.90334
roc_auc,51,0.76442,0.82526,0.89964,0.91038,0.90446,0.89783,0.91608,0.91203,0.92251
roc_auc,52,0.75043,0.83566,0.82909,0.88808,0.87161,0.89951,0.90262,0.91598,0.90344
roc_auc,53,0.74033,0.80191,0.82944,0.85699,0.86927,0.89893,0.8892,0.89847,0.90994
roc_auc,54,0.73341,0.77974,0.81704,0.83969,0.86559,0.8751,0.87557,0.8648,0.88604
roc_auc,55,0.78272,0.81564,0.87552,0.86927,0.88845,0.89132,0.89171,0.88613,0.91525
roc_auc,56,0.75466,0.81677,0.86152,0.86099,0.88974,0.89129,0.89023,0.88565,0.91167
roc_auc,57,0.74928,0.81427,0.81557,0.82935,0.83802,0.8342,0.85971,0.86084,0.86983
roc_auc,58,0.74984,0.84044,0.83929,0.87262,0.87395,0.85321,0.86492,0.86841,0.89415
roc_auc,59,0.69901,0.75509,0.78774,0.81599,0.85637,0.87238,0.89061,0.89144,0.89324
roc_auc,60,0.75057,0.81471,0.85455,0.85671,0.88179,0.8916,0.89787,0.88266,0.90272
