,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,90,0.38667,0.38667,0.33333,0.42667,0.48,0.46667,0.48,0.49333,0.48
nef_Ra,91,0.30667,0.30667,0.36,0.4,0.33333,0.41333,0.44,0.46667,0.4
nef_Ra,92,0.37333,0.36,0.36,0.50667,0.45333,0.52,0.48,0.54667,0.52
nef_Ra,93,0.29333,0.33333,0.34667,0.4,0.36,0.46667,0.38667,0.44,0.41333
nef_Ra,94,0.24,0.36,0.30667,0.37333,0.41333,0.36,0.30667,0.36,0.38667
nef_Ra,95,0.36,0.33333,0.32,0.50667,0.46667,0.45333,0.48,0.48,0.44
nef_Ra,96,0.37333,0.41333,0.32,0.49333,0.44,0.48,0.45333,0.44,0.54667
nef_Ra,97,0.25333,0.37333,0.38667,0.48,0.45333,0.45333,0.42667,0.48,0.52
nef_Ra,98,0.33333,0.25333,0.34667,0.4,0.37333,0.4,0.37333,0.48,0.44
nef_Ra,99,0.28,0.32,0.32,0.36,0.37333,0.41333,0.38667,0.38667,0.37333
nef_Ra,100,0.34667,0.41333,0.33333,0.52,0.50667,0.49333,0.45333,0.50667,0.50667
nef_Ra,101,0.29333,0.34667,0.30667,0.41333,0.38667,0.44,0.42667,0.48,0.46667
nef_Ra,102,0.32,0.29333,0.33333,0.38667,0.44,0.4,0.45333,0.44,0.44
nef_Ra,103,0.28,0.34667,0.38667,0.42667,0.38667,0.45333,0.38667,0.46667,0.45333
nef_Ra,104,0.34667,0.34667,0.38667,0.45333,0.41333,0.50667,0.42667,0.45333,0.50667
nef_Ra,105,0.33333,0.37333,0.4,0.42667,0.46667,0.48,0.48,0.49333,0.49333
nef_Ra,106,0.34667,0.30667,0.29333,0.36,0.38667,0.4,0.44,0.44,0.42667
nef_Ra,107,0.25333,0.33333,0.32,0.42667,0.44,0.42667,0.41333,0.44,0.42667
nef_Ra,108,0.32,0.32,0.32,0.50667,0.45333,0.44,0.42667,0.45333,0.41333
nef_Ra,109,0.26667,0.36,0.36,0.48,0.38667,0.44,0.4,0.52,0.48
nef_Ra,110,0.41333,0.34667,0.36,0.38667,0.4,0.42667,0.44,0.41333,0.45333
nef_Ra,111,0.29333,0.37333,0.36,0.42667,0.41333,0.44,0.4,0.46667,0.41333
nef_Ra,112,0.29333,0.36,0.25333,0.44,0.44,0.45333,0.45333,0.44,0.42667
nef_Ra,113,0.26667,0.26667,0.28,0.38667,0.38667,0.38667,0.38667,0.48,0.38667
nef_Ra,114,0.34667,0.29333,0.33333,0.41333,0.38667,0.4,0.37333,0.41333,0.46667
