,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,76,0.30357,0.41071,0.4375,0.47321,0.45536,0.4375,0.55357,0.5625,0.57143,0.58036
nef_Ra,77,0.38938,0.53982,0.50442,0.52212,0.56637,0.57522,0.58407,0.61062,0.59292,0.62832
nef_Ra,78,0.40708,0.43363,0.47788,0.50442,0.49558,0.50442,0.58407,0.53097,0.59292,0.61062
nef_Ra,79,0.33929,0.42857,0.44643,0.44643,0.48214,0.53571,0.54464,0.5625,0.59821,0.625
nef_Ra,80,0.35714,0.41071,0.45536,0.49107,0.47321,0.49107,0.51786,0.52679,0.53571,0.58036
nef_Ra,81,0.38938,0.42478,0.48673,0.52212,0.56637,0.54867,0.57522,0.52212,0.59292,0.59292
nef_Ra,82,0.39823,0.44248,0.48673,0.51327,0.56637,0.52212,0.57522,0.57522,0.61947,0.65487
nef_Ra,83,0.33929,0.44643,0.50893,0.49107,0.55357,0.53571,0.53571,0.53571,0.52679,0.58929
nef_Ra,84,0.39286,0.44643,0.46429,0.49107,0.53571,0.50893,0.51786,0.57143,0.57143,0.60714
nef_Ra,85,0.40708,0.38053,0.47788,0.49558,0.46903,0.50442,0.53097,0.52212,0.57522,0.61947
nef_Ra,86,0.43363,0.47788,0.51327,0.55752,0.55752,0.55752,0.58407,0.61062,0.62832,0.70796
nef_Ra,87,0.29464,0.375,0.42857,0.49107,0.49107,0.54464,0.52679,0.53571,0.53571,0.5625
nef_Ra,88,0.44643,0.47321,0.45536,0.50893,0.53571,0.5,0.5625,0.55357,0.58036,0.625
nef_Ra,89,0.35398,0.41593,0.47788,0.49558,0.51327,0.54867,0.52212,0.53097,0.55752,0.64602
nef_Ra,90,0.43363,0.47788,0.47788,0.51327,0.53982,0.54867,0.58407,0.60177,0.60177,0.58407
nef_Ra,91,0.40179,0.46429,0.45536,0.46429,0.55357,0.51786,0.54464,0.59821,0.5625,0.58929
nef_Ra,92,0.33036,0.40179,0.45536,0.45536,0.51786,0.53571,0.55357,0.5625,0.58036,0.64286
nef_Ra,93,0.46018,0.46903,0.50442,0.49558,0.51327,0.54867,0.55752,0.53097,0.57522,0.58407
nef_Ra,94,0.34513,0.38938,0.40708,0.48673,0.44248,0.48673,0.47788,0.49558,0.57522,0.57522
nef_Ra,95,0.45536,0.45536,0.53571,0.53571,0.5625,0.58929,0.60714,0.625,0.625,0.64286
nef_Ra,96,0.40179,0.48214,0.48214,0.53571,0.50893,0.53571,0.5625,0.5625,0.58929,0.63393
nef_Ra,97,0.41593,0.42478,0.44248,0.45133,0.49558,0.53097,0.58407,0.58407,0.60177,0.62832
