,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,111,0.43689,0.46602,0.46602,0.5534,0.53398,0.5534,0.53398,0.58252,0.65049,0.65049
nef_Ra,112,0.43269,0.45192,0.46154,0.56731,0.54808,0.53846,0.51923,0.625,0.55769,0.61538
nef_Ra,113,0.35577,0.48077,0.50962,0.55769,0.54808,0.53846,0.55769,0.56731,0.60577,0.625
nef_Ra,114,0.42308,0.47115,0.44231,0.61538,0.53846,0.55769,0.60577,0.58654,0.63462,0.68269
nef_Ra,115,0.34951,0.38835,0.4466,0.47573,0.48544,0.47573,0.50485,0.53398,0.54369,0.59223
nef_Ra,116,0.43269,0.5,0.49038,0.57692,0.52885,0.48077,0.60577,0.625,0.56731,0.60577
nef_Ra,117,0.38462,0.40385,0.51923,0.56731,0.55769,0.55769,0.55769,0.625,0.58654,0.60577
nef_Ra,118,0.43269,0.45192,0.44231,0.60577,0.58654,0.51923,0.57692,0.54808,0.65385,0.69231
nef_Ra,119,0.35922,0.47573,0.42718,0.51456,0.43689,0.51456,0.47573,0.57282,0.60194,0.60194
roc_auc,0,0.76389,0.82743,0.81171,0.86523,0.87184,0.84654,0.87617,0.88067,0.89544,0.90576
roc_auc,1,0.74987,0.79832,0.80161,0.84784,0.84712,0.85525,0.86546,0.88244,0.87559,0.88681
roc_auc,2,0.74224,0.81308,0.81661,0.85819,0.85186,0.86098,0.8841,0.88772,0.91071,0.9204
roc_auc,3,0.75535,0.83458,0.80534,0.88976,0.88356,0.84518,0.89253,0.88036,0.89752,0.91461
roc_auc,4,0.71694,0.78656,0.80314,0.84686,0.8469,0.83088,0.86712,0.8863,0.88673,0.90259
roc_auc,5,0.73219,0.79359,0.81098,0.82876,0.83608,0.83046,0.8487,0.84265,0.8869,0.88087
roc_auc,6,0.81159,0.86599,0.8408,0.89516,0.86465,0.87644,0.90822,0.90699,0.91524,0.92984
roc_auc,7,0.7731,0.79787,0.83272,0.86834,0.86989,0.85167,0.87474,0.89135,0.88294,0.9049
roc_auc,8,0.7772,0.81383,0.82444,0.85516,0.86576,0.85819,0.88058,0.89087,0.89781,0.90057
roc_auc,9,0.76408,0.81606,0.83437,0.87631,0.87458,0.88536,0.87753,0.87307,0.9086,0.91374
roc_auc,10,0.74951,0.8413,0.82637,0.86277,0.86546,0.86202,0.87976,0.88791,0.89785,0.90934
roc_auc,11,0.71893,0.80514,0.79657,0.84737,0.84836,0.82995,0.8603,0.86452,0.86063,0.88904
roc_auc,12,0.73195,0.79824,0.77883,0.85136,0.832,0.83452,0.8563,0.86333,0.86299,0.87835
roc_auc,13,0.80135,0.82391,0.85049,0.88479,0.90415,0.89037,0.92133,0.90976,0.91647,0.94431
roc_auc,14,0.76436,0.82971,0.8234,0.87959,0.87588,0.85046,0.85909,0.88409,0.9004,0.90923
roc_auc,15,0.74611,0.796,0.78745,0.82592,0.84359,0.834,0.86086,0.85929,0.8668,0.89216
roc_auc,16,0.77527,0.82948,0.83339,0.87068,0.87148,0.86794,0.87843,0.88303,0.91668,0.91912
