,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,83,0.22523,0.20721,0.27928,0.42342,0.54955,0.74775,0.73874,0.77477,0.73874,0.74775,0.75676
nef_Ra,84,0.18182,0.19091,0.34545,0.43636,0.56364,0.70909,0.73636,0.74545,0.71818,0.72727,0.72727
nef_Ra,85,0.13636,0.19091,0.27273,0.37273,0.6,0.75455,0.77273,0.80909,0.80909,0.80909,0.8
nef_Ra,86,0.20721,0.18919,0.30631,0.40541,0.57658,0.64865,0.65766,0.67568,0.68468,0.67568,0.67568
nef_Ra,87,0.26126,0.2973,0.34234,0.45045,0.58559,0.68468,0.7027,0.71171,0.73874,0.72973,0.73874
nef_Ra,88,0.23636,0.23636,0.27273,0.41818,0.56364,0.7,0.70909,0.70909,0.72727,0.70909,0.70909
nef_Ra,89,0.19091,0.21818,0.31818,0.40909,0.54545,0.68182,0.71818,0.71818,0.74545,0.77273,0.73636
nef_Ra,90,0.1982,0.20721,0.2973,0.46847,0.6036,0.78378,0.8018,0.81081,0.81982,0.81081,0.81081
nef_Ra,91,0.23423,0.25225,0.32432,0.45946,0.56757,0.68468,0.69369,0.69369,0.69369,0.7027,0.69369
nef_Ra,92,0.21818,0.21818,0.32727,0.45455,0.56364,0.66364,0.71818,0.74545,0.77273,0.78182,0.78182
nef_Ra,93,0.22727,0.20909,0.35455,0.44545,0.57273,0.7,0.71818,0.75455,0.75455,0.76364,0.76364
nef_Ra,94,0.24324,0.22523,0.2973,0.36036,0.62162,0.72072,0.72072,0.72973,0.71171,0.69369,0.72072
nef_Ra,95,0.16216,0.14414,0.26126,0.36937,0.54955,0.69369,0.71171,0.7027,0.72973,0.71171,0.72072
nef_Ra,96,0.18182,0.2,0.27273,0.37273,0.57273,0.72727,0.77273,0.76364,0.78182,0.78182,0.77273
nef_Ra,97,0.22727,0.18182,0.30909,0.44545,0.56364,0.60909,0.65455,0.65455,0.65455,0.66364,0.67273
nef_Ra,98,0.20721,0.24324,0.31532,0.42342,0.62162,0.72973,0.75676,0.77477,0.79279,0.78378,0.77477
nef_Ra,99,0.23423,0.25225,0.31532,0.48649,0.58559,0.69369,0.69369,0.69369,0.7027,0.7027,0.7027
nef_Ra,100,0.18182,0.19091,0.31818,0.4,0.6,0.72727,0.77273,0.75455,0.77273,0.75455,0.76364
nef_Ra,101,0.17273,0.2,0.32727,0.43636,0.61818,0.67273,0.69091,0.70909,0.71818,0.7,0.71818
nef_Ra,102,0.1982,0.18018,0.31532,0.48649,0.54955,0.7027,0.72072,0.72072,0.74775,0.76577,0.74775
nef_Ra,103,0.23423,0.22523,0.33333,0.41441,0.57658,0.69369,0.72973,0.72072,0.72973,0.74775,0.74775
nef_Ra,104,0.22727,0.21818,0.27273,0.45455,0.60909,0.70909,0.77273,0.76364,0.77273,0.76364,0.76364
nef_Ra,105,0.21818,0.19091,0.3,0.45455,0.54545,0.7,0.67273,0.71818,0.74545,0.71818,0.71818
nef_Ra,106,0.23423,0.26126,0.36036,0.43243,0.56757,0.71171,0.72072,0.72973,0.73874,0.72973,0.75676
nef_Ra,107,0.20721,0.21622,0.31532,0.40541,0.58559,0.66667,0.67568,0.69369,0.7027,0.69369,0.7027
nef_Ra,108,0.20909,0.23636,0.29091,0.35455,0.51818,0.63636,0.68182,0.70909,0.70909,0.71818,0.71818
nef_Ra,109,0.25455,0.22727,0.34545,0.49091,0.64545,0.74545,0.75455,0.75455,0.76364,0.75455,0.73636
nef_Ra,110,0.18919,0.18018,0.35135,0.40541,0.59459,0.7027,0.71171,0.71171,0.73874,0.73874,0.76577
nef_Ra,111,0.20721,0.22523,0.30631,0.43243,0.62162,0.72973,0.75676,0.75676,0.77477,0.78378,0.78378
nef_Ra,112,0.16364,0.20909,0.32727,0.46364,0.6,0.68182,0.7,0.7,0.74545,0.75455,0.75455
nef_Ra,113,0.2,0.26364,0.35455,0.48182,0.61818,0.7,0.74545,0.73636,0.71818,0.73636,0.73636
nef_Ra,114,0.23423,0.20721,0.32432,0.41441,0.54054,0.72973,0.75676,0.78378,0.76577,0.77477,0.78378
nef_Ra,115,0.21622,0.22523,0.27928,0.42342,0.58559,0.7027,0.72973,0.71171,0.72973,0.72973,0.72072
nef_Ra,116,0.18182,0.2,0.29091,0.40909,0.56364,0.66364,0.69091,0.7,0.70909,0.70909,0.7
nef_Ra,117,0.17273,0.16364,0.31818,0.37273,0.55455,0.68182,0.68182,0.70909,0.70909,0.70909,0.71818
nef_Ra,118,0.21622,0.26126,0.35135,0.45946,0.62162,0.73874,0.73874,0.77477,0.75676,0.76577,0.76577
nef_Ra,119,0.22523,0.22523,0.26126,0.36937,0.54955,0.72072,0.75676,0.74775,0.76577,0.75676,0.74775
roc_auc,0,0.57163,0.57587,0.67983,0.80152,0.85751,0.90181,0.90344,0.92387,0.9077,0.91661,0.91613
roc_auc,1,0.53731,0.5633,0.66475,0.75039,0.82234,0.86481,0.87208,0.88727,0.89183,0.88374,0.8808
roc_auc,2,0.54689,0.57785,0.71045,0.76955,0.8675,0.90435,0.89673,0.9106,0.90757,0.9057,0.92054
roc_auc,3,0.58049,0.5943,0.70433,0.75095,0.84012,0.87867,0.87466,0.87911,0.88452,0.88484,0.87962
roc_auc,4,0.57994,0.60973,0.72143,0.79093,0.87053,0.89938,0.91371,0.91378,0.90606,0.91076,0.9118
roc_auc,5,0.61226,0.59414,0.72413,0.78779,0.86224,0.8928,0.90243,0.92377,0.92231,0.92087,0.91047
roc_auc,6,0.54942,0.56689,0.6895,0.74717,0.82519,0.86882,0.87066,0.86879,0.86336,0.86546,0.85595
roc_auc,7,0.56079,0.53754,0.68031,0.76933,0.86036,0.89633,0.88724,0.9141,0.90589,0.90753,0.90863
roc_auc,8,0.5887,0.60744,0.70247,0.79062,0.86319,0.88847,0.89508,0.88905,0.89826,0.896,0.88768
roc_auc,9,0.57339,0.58643,0.71696,0.76426,0.83772,0.88919,0.89527,0.9102,0.91884,0.92163,0.9156
roc_auc,10,0.56873,0.56857,0.67836,0.75409,0.81789,0.85676,0.86689,0.88401,0.8638,0.87057,0.86603
roc_auc,11,0.603,0.63906,0.73393,0.7678,0.84991,0.88586,0.89548,0.90638,0.91306,0.90817,0.8978
roc_auc,12,0.59315,0.60294,0.70907,0.77949,0.86887,0.88931,0.89325,0.88091,0.88578,0.86531,0.88299
roc_auc,13,0.60519,0.56383,0.68476,0.76303,0.8398,0.85673,0.88154,0.89585,0.88828,0.89067,0.88901
roc_auc,14,0.53826,0.55535,0.6924,0.76392,0.86158,0.90532,0.90846,0.91524,0.90838,0.91122,0.9108
roc_auc,15,0.57919,0.57175,0.67446,0.74245,0.83192,0.86664,0.88842,0.89246,0.88851,0.89762,0.8826
roc_auc,16,0.60569,0.59569,0.72104,0.77653,0.85584,0.89238,0.88806,0.8948,0.89227,0.90691,0.90047
roc_auc,17,0.62943,0.57098,0.69333,0.75573,0.83098,0.87409,0.88237,0.89718,0.89374,0.89383,0.89445
roc_auc,18,0.59722,0.56247,0.65749,0.7407,0.83723,0.87537,0.89488,0.9074,0.90522,0.90264,0.90372
roc_auc,19,0.55441,0.55998,0.68022,0.73775,0.82631,0.87144,0.87361,0.88762,0.88423,0.89287,0.87773
roc_auc,20,0.57914,0.57743,0.70281,0.74716,0.85003,0.89018,0.89787,0.91695,0.91002,0.90952,0.90312
roc_auc,21,0.57309,0.53099,0.66369,0.74201,0.85321,0.88507,0.89985,0.89835,0.90602,0.91323,0.89857
roc_auc,22,0.59566,0.60058,0.72585,0.77121,0.83864,0.87724,0.89758,0.89656,0.90717,0.90916,0.90813
roc_auc,23,0.59305,0.57877,0.7142,0.75941,0.83769,0.87393,0.8733,0.8771,0.87527,0.87047,0.85167
roc_auc,24,0.57936,0.55514,0.68473,0.77254,0.82921,0.87266,0.88442,0.89498,0.88456,0.89511,0.89127
roc_auc,25,0.54655,0.57253,0.65881,0.73116,0.83285,0.86897,0.87614,0.89605,0.89085,0.89522,0.89225
roc_auc,26,0.53855,0.53877,0.66482,0.75663,0.83774,0.87124,0.88533,0.90157,0.90011,0.90107,0.89134
roc_auc,27,0.59878,0.59721,0.7322,0.80115,0.87072,0.9248,0.91635,0.91947,0.91063,0.90806,0.89687
roc_auc,28,0.55609,0.56683,0.70544,0.75352,0.8547,0.86499,0.8936,0.89835,0.89586,0.89391,0.88536
roc_auc,29,0.60151,0.59849,0.69816,0.76751,0.8637,0.89066,0.89417,0.91224,0.91331,0.92356,0.91242
roc_auc,30,0.62851,0.59811,0.6996,0.80644,0.85996,0.89967,0.90715,0.92805,0.92334,0.92677,0.91806
roc_auc,31,0.54198,0.5319,0.67337,0.7657,0.81173,0.86023,0.86729,0.86908,0.86437,0.85135,0.84592
roc_auc,32,0.53897,0.54463,0.67303,0.7735,0.84305,0.87257,0.88827,0.92045,0.91552,0.92933,0.91967
roc_auc,33,0.57651,0.58927,0.6855,0.76695,0.85508,0.90933,0.89372,0.91215,0.90002,0.9071,0.90463
roc_auc,34,0.57546,0.56699,0.66523,0.72999,0.83989,0.88106,0.89394,0.89572,0.89149,0.89724,0.89285
roc_auc,35,0.62465,0.61012,0.71101,0.77913,0.85866,0.88889,0.8925,0.8794,0.88959,0.88031,0.88459
roc_auc,36,0.58723,0.54754,0.67624,0.72464,0.84509,0.89112,0.90268,0.91987,0.90494,0.90857,0.91315
roc_auc,37,0.58119,0.57495,0.68905,0.75196,0.82104,0.8694,0.87673,0.89142,0.88355,0.89725,0.88906
roc_auc,38,0.5592,0.5752,0.69398,0.80352,0.85993,0.88741,0.88798,0.89897,0.8833,0.89236,0.87917
roc_auc,39,0.60793,0.5694,0.66932,0.75278,0.84052,0.87417,0.88318,0.88724,0.88536,0.89016,0.87255
roc_auc,40,0.50662,0.51756,0.64949,0.76896,0.84245,0.87586,0.87517,0.89888,0.90256,0.90811,0.89105
roc_auc,41,0.60156,0.61416,0.70458,0.77331,0.88055,0.92022,0.92693,0.92882,0.92808,0.94235,0.91731
roc_auc,42,0.54977,0.54152,0.67165,0.75571,0.82107,0.86642,0.89082,0.88931,0.87326,0.88474,0.87959
roc_auc,43,0.53465,0.51085,0.65425,0.74141,0.8349,0.87647,0.87881,0.89297,0.88109,0.88549,0.88518
roc_auc,44,0.54625,0.58635,0.67702,0.75777,0.82336,0.8773,0.88796,0.8973,0.89172,0.9017,0.89502
roc_auc,45,0.56263,0.52746,0.63251,0.7438,0.85544,0.89353,0.90426,0.91494,0.91305,0.92238,0.91788
roc_auc,46,0.59471,0.60659,0.73042,0.80157,0.84376,0.8559,0.86038,0.87422,0.87466,0.86629,0.86871
roc_auc,47,0.60091,0.59497,0.73426,0.77759,0.86501,0.8853,0.90185,0.91681,0.91655,0.92035,0.91082
