,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,94,0.24324,0.41441,0.5045,0.53153,0.62162,0.72072,0.72973,0.71171,0.73874,0.73874,0.74775
nef_Ra,95,0.16216,0.40541,0.56757,0.56757,0.65766,0.71171,0.72973,0.72973,0.74775,0.73874,0.74775
nef_Ra,96,0.18182,0.4,0.59091,0.63636,0.70909,0.78182,0.77273,0.79091,0.81818,0.80909,0.8
nef_Ra,97,0.22727,0.39091,0.51818,0.51818,0.61818,0.68182,0.67273,0.71818,0.7,0.68182,0.68182
nef_Ra,98,0.20721,0.43243,0.62162,0.64865,0.72072,0.8018,0.79279,0.8018,0.8018,0.81081,0.8018
nef_Ra,99,0.23423,0.45946,0.55856,0.58559,0.68468,0.72973,0.73874,0.75676,0.76577,0.76577,0.73874
nef_Ra,100,0.18182,0.38182,0.58182,0.59091,0.74545,0.77273,0.76364,0.79091,0.77273,0.77273,0.78182
nef_Ra,101,0.17273,0.42727,0.60909,0.59091,0.69091,0.70909,0.72727,0.72727,0.72727,0.73636,0.71818
nef_Ra,102,0.1982,0.44144,0.59459,0.54955,0.65766,0.73874,0.77477,0.78378,0.78378,0.78378,0.76577
nef_Ra,103,0.23423,0.45045,0.54054,0.57658,0.67568,0.72973,0.72973,0.73874,0.75676,0.75676,0.74775
nef_Ra,104,0.22727,0.33636,0.53636,0.54545,0.65455,0.75455,0.79091,0.78182,0.79091,0.78182,0.79091
nef_Ra,105,0.21818,0.46364,0.58182,0.62727,0.7,0.71818,0.75455,0.75455,0.77273,0.75455,0.77273
nef_Ra,106,0.23423,0.45946,0.62162,0.67568,0.71171,0.8018,0.75676,0.77477,0.76577,0.78378,0.78378
nef_Ra,107,0.20721,0.42342,0.51351,0.54054,0.64865,0.7027,0.71171,0.69369,0.7027,0.72072,0.7027
nef_Ra,108,0.20909,0.41818,0.57273,0.55455,0.59091,0.70909,0.72727,0.71818,0.73636,0.72727,0.74545
nef_Ra,109,0.25455,0.44545,0.61818,0.65455,0.71818,0.74545,0.76364,0.76364,0.76364,0.75455,0.76364
nef_Ra,110,0.18919,0.35135,0.53153,0.54955,0.68468,0.72072,0.71171,0.72973,0.73874,0.74775,0.74775
nef_Ra,111,0.20721,0.40541,0.63063,0.65766,0.75676,0.77477,0.79279,0.81081,0.8018,0.81982,0.81982
nef_Ra,112,0.16364,0.44545,0.58182,0.61818,0.73636,0.78182,0.77273,0.76364,0.76364,0.76364,0.79091
nef_Ra,113,0.2,0.42727,0.59091,0.59091,0.69091,0.73636,0.73636,0.77273,0.74545,0.72727,0.74545
nef_Ra,114,0.23423,0.34234,0.53153,0.59459,0.65766,0.76577,0.77477,0.78378,0.79279,0.78378,0.79279
nef_Ra,115,0.21622,0.45045,0.55856,0.58559,0.68468,0.72072,0.75676,0.76577,0.77477,0.75676,0.76577
nef_Ra,116,0.18182,0.42727,0.56364,0.58182,0.66364,0.72727,0.74545,0.75455,0.74545,0.74545,0.75455
nef_Ra,117,0.17273,0.37273,0.57273,0.60909,0.69091,0.72727,0.73636,0.73636,0.73636,0.76364,0.74545
nef_Ra,118,0.21622,0.3964,0.54955,0.63063,0.75676,0.76577,0.76577,0.77477,0.78378,0.78378,0.78378
nef_Ra,119,0.22523,0.41441,0.55856,0.56757,0.63964,0.74775,0.75676,0.76577,0.77477,0.74775,0.76577
roc_auc,0,0.57163,0.81547,0.90346,0.91282,0.93742,0.96107,0.96251,0.96643,0.96003,0.96179,0.96306
